en	ru	clusters
Paul was once a well-known dancer, but suffered a leg injury in World War II.	Пол был когда-то известным танцором, но получил травму ноги во время Второй мировой войны.	World Wars
Pentoxifylline can increase the risk of bleeding.	Пентоксифиллин может увеличить риск кровотечения.	Medical
"Perhaps the first usage appears in its 3 November 1941, issue (preceding the Japanese attack on Pearl Harbor on 7 December 1941) under its ""National Affairs"" section and entitled ""World War III?"" about Nazi refugee Dr. Hermann Rauschning, who had just arrived in the United States."	"Возможно, первое использование термина появляется в его выпуске от 3 ноября 1941 года (предшествующем нападению Японии на Перл-Харбор 7 декабря 1941 года) в разделе ""Национальные дела"" и озаглавленном ""Третья мировая война?"", где рассказывается о нацистском беженце д-ре Германе Раушнинге, который только что прибыл в Соединенные Штаты."	World Wars
Permanent exhibit of the museum recreates the atmosphere of the streets of Amsterdam during the German occupation of the World War II.	Постоянная экспозиция музея воссоздаёт атмосферу на улицах Амстердама во время нацистской оккупации.	World Wars
Pierson served in the military during World War II, then graduated from Harvard.	Пирсон служил в армии во время Второй мировой войны, затем окончил Гарвард.	World Wars
Piketty's work shows that differences in earnings dropped sharply during the 20th century in France, mostly after World War II.	Пикетти показывает, что во Франции различия в доходах резко снижаются в XX веке, в основном после Второй мировой войны.	World Wars
Pilkey entered his first book, World War Won, in a national competition for student authors and won in his age category.	Свою первую книгу, «Выигранная мировая война» (World War Won), Пилки представил на национальный конкурс студенческих произведений и выиграл в категории своего возраста.	World Wars
Planned development of the city slowed significantly during the depression of the 1930s and during World War II.	Запланированное развитие города значительно замедлилось в годы Великой депрессии 1930-х годов и во время Второй мировой войны.	World Wars
Planning and construction will be initiated with $500 billion from the Public Investment Fund of Saudi Arabia and international investors.	Планирование и строительство будет начато при стартовом бюджете в 500 миллиардов долларов США, выделенных Саудовским государственным инвестиционным фондом, и при участии международных инвесторов.	Arab world
Political interference from the Nazi regime limited and ultimately closed most Waldorf schools in Europe; the affected schools, including the original school, were reopened after the Second World War.	Нацистский режим ограничил деятельность вальдорфских школ и в итоге закрыл большинство вальдорфских школ в Европе; пострадавшие школы, включая и первую, были снова открыты только после Второй мировой войны.	World Wars
Poor Health and the outbreak of World War I meant that he was unable to complete his studies at the Jagiellonian University.	Из-за слабого здоровья и начала Первой мировой войны Яниковский не смог завершить учебу в Ягеллонском университете.	World Wars
Poor and uneducated, Mohammed emigrated to Tihamah before World War I, initially working as a porter in Jeddah.	Бедный и необразованный Мухаммед перебрался в Тихаму до Первой мировой войны, первоначально работал грузчиком в Джидде.	World Wars
"Pope John Paul II criticized the film saying that it ""deeply wounds the religious sentiments of believers."""	Иоанн Павел II раскритиковал фильм, сказал, что картина «глубоко ранит религиозные чувства верующих».	Vatican
"Pope John Paul II issued a papal encyclical ""Dives in misericordia"" on 30 November 1980 declaring that ""Jesus Christ taught that man not only receives and experiences the mercy of God, but that he is also called 'to practice mercy' towards others."""	В энциклике Иоанна Павла II «Dives in Misericordia» от 30 ноября 1980 года заявляется, что Иисус Христос учил, что человек не только получает и испытывает милосердие Божие, но что он также призван «практиковать милосердие» по отношению к другим людям.	Vatican
Pope John Paul II visited the airport on 30 May 1982 as part of his six-day visit to Britain.	Иоанн Павел II посетил аэропорт 30 мая 1982 во время шестидневного визита в Великобританию.	Vatican
Pope John Paul II, Japanese Prime Minister Noboru Takeshita and Queen Elizabeth II of the United Kingdom conveyed their official messages of condolence.	Папа Римский Иоанн Павел II, премьер-министр Японии Нобуру Такесита и королева Великобритании Елизавета II выступили с официальными соболезнованиями.	Vatican
Pope John XXIII wanted the Catholic Church to engage in the contemporary ecumenical movement.	Папа римский Иоанн XXIII выражал желание, чтобы Католическая церковь участвовала в современном экуменистическом движении.	Vatican
Pope John XXIII's first encyclical, Ad Petri cathedram, was issued eight months into his pontificate and was neither an important social document nor doctrinal exposition.	Первая энциклика Иоанна XXIII, Ad Petri Cathedram (1959), была издана через восемь месяцев после вступления на папский престол и не была ни важным социальным документом, ни толкованием доктрины.	Vatican
Pre-World War II Albania had no university-level education and all advanced studies were pursued abroad.	До Второй мировой войны в Албании не было образования университетского уровня, поэтому все желающие получить высшее образование уезжали за границу.	World Wars
Pre-World War II Cadillacs were well-built, powerful, mass-produced luxury cars aimed at an upper-class market.	Кадиллаки периода до Второй Мировой войны были хорошо построенными, мощными, массовыми автомобилями класса «люкс», нацеленными на верхний сегмент рынка.	World Wars
"President Theodore Roosevelt expressed the need for a complete revision of copyright law as opposed to amendments, saying in a message to Congress in December 1905, ""Our copyright laws urgently need revision."	Методы воспроизведения и тиражирования произведений авторского права существенно возросли с того времени и президент США Теодор Рузвельт выразил необходимость полного пересмотра закона об авторских правах вместо поправок, заявив в послании Конгрессу в декабре 1905 года: «Наши законы об авторском праве срочно нуждаются в пересмотре.	Copyright
Prime Minister Erdoğan expressed multiple times that Turkey would acknowledge the mass killings of up to 1.5 million Armenians during World War I as genocide only after a thorough investigation by a joint Turkish-Armenian commission consisting of historians, archaeologists, political scientists and other experts.	Эрдоган множество раз заявлял, что Турция признает убийство полутора миллионов армян геноцидом только после того, как будет проведено расследование со стороны совместной турецко-армянской комиссии, в состав которой должны входить историки, археологи, политологи и другие эксперты.	World Wars
"Prince Ahmed called for a ""border fence"" between Saudi Arabia and Iraq."	Ахмед призвал к «пограничному ограждению» между Саудовской Аравией и Ираком.	Arab world
Prince Bandar organized the visit of Manaf Tlass, who defected from Syria on 6 July 2012, to Saudi Arabia in the last week of July 2012.	Принц Бандар организовал визит бывшего сирийского генерала Манафа, бежавшего 6 июля 2012 в Саудовскую Аравию на последнюю неделю июля 2012.	Arab world
Prior continued as Commander-in-Chief of the Danish Army during the early part of the German occupation, and worked actively to prevent the Danish army from becoming involved on the German side during World War II.	Приор занимал пост главнокомандующего датской армии во время первой половины немецкой оккупации, и активно работал по предотвращению участия датской армии на стороне немцев во время Второй мировой войны.	World Wars
Prior to Di Noia's work at the Pope John Paul II Cultural Center, he served for seven years as executive director of the Secretariat for Doctrine and Pastoral Practices of the National Conference of Catholic Bishops (now the United States Conference of Catholic Bishops).	До своей работы в Культурном Центре папы Иоанна Павла II, Ди Нойя служил в течение семи лет руководителем Секретариата доктрины и пасторских методов национальной конференции католических епископов (теперь Конференция католических епископов США).	Vatican
Prior to World War I, CIWL held a monopoly being the only group catering to the needs of the international railroad traveller.	До Первой мировой войны CIWL обладала монополией, будучи единственной компанией, удовлетворявшей потребности пассажиров международных поездов.	World Wars
Prior to World War II, Sauer had been primarily a maker of shotguns and hunting rifles.	Перед Второй мировой войной компания Sauer в основном производила дробовики и охотничьи ружья.	World Wars
"Prior to World War II, the award was administered by the International League of Aviators (Ligue Internationale des Aviateurs), an organization founded by Harmon to serve as ""an agent for Peace and National security."""	До Второй мировой войны вручение награды находилось в ведении организации Международная Лига Авиаторов (фр. Ligue Internationale Des Aviateurs), основанной Хармоном в качестве «посредника по вопросам мира и национальной безопасности».	World Wars
Prior to World War  II, most public schools in the country were de jure or de facto segregated.	До Второй Мировой Войны, в большинстве государственных школ в стране была де-юре или де-факто сегрегация.	World Wars
Prior to the Second World War the team managed to win 15 Hungarian League titles and gained 7 Hungarian Cup victories.	В итоге до начала Второй мировой войны команде удалось выиграть 15 чемпионатов Венгрии и получить 7 Кубков Венгрии.	World Wars
Prior to the Second World War, Katowice was mainly inhabited by Poles and Germans.	До Второй мировой войны Катовице в основном населяли поляки и немцы.	World Wars
Prior to the Second World War, and its peak, the Jewish community of Belgium consisted of roughly 70,000 Jews (35,000 resided in Antwerp and 25,000 in Brussels).	До начала Второй мировой войны еврейская община Бельгии состояла из примерно 70 000 евреев (35 000 проживали в Антверпене и 25000 в Брюсселе).	World Wars
Prior to the Second World War, the Mongolian library collaborated solely with Soviet libraries.	До начала Второй мировой войны монгольские библиотеки сотрудничали только с советскими библиотеками.	World Wars
Prior to the outbreak of World War II, he authored more than 30 screenplays for both Polish and foreign films.	До Второй мировой войны он написал более 30 сценариев для польских и зарубежных фильмов.	World Wars
Prior to this amendment, United States copyright law did not protect nor register motion picture films.	До этой поправки в Соединённых Штатах авторское право не защищало кинофильмы и их нельзя было зарегистрировать.	Copyright
Production was indefinitely delayed in 1942 due to World War II, after 110,000 had been made, though several thousand Chevrolet coupes and sedans were produced during the war years for military staff use.	Производство было отложено на неопределенный срок в 1942 году из-за Второй мировой войны, после неё было сделано около 110 000 штук, хотя несколько тысяч купе и седанов было произведено и в годы войны для использования военным персоналом.	World Wars
Professor Michałowski decided that since the French archaeologists had not returned to Edfu without their Polish colleagues during World War II, he would also not go back there without them.	Михаловский решил, что, поскольку французские археологи во время Второй мировой войны не вернулись в Идфу без польских археологов, то и он этого не сделает.	World Wars
Professor Steven Dutch points out that this routing reflected the technology and needs of the post-World War I military.	Профессор Стивен Датч отмечает, что такая маршрутизация отражает технологии и потребности военнослужащих после Первой мировой войны.	World Wars
Proponents also point out that the unilateralist policy of having the United States control Japan after World War II was more of a success than multilateral policies such as those used in post-war Germany.	Защитники унилатерализма также указывают, что унилатеральная политика американского контроля над Японией после Второй Мировой войны была более успешной, чем мультилатеральная политика в послевоенной Германии.	World Wars
Published works originating in Iran thus are not copyrighted in the United States, regardless of the local copyright laws of these countries.	Опубликованные произведения в Иране не охраняются авторским правом в Соединенных Штатах, независимо от местных законов об авторском праве этих стран.	Copyright
Queen Fawzia with Shah Mohammad Reza Pahlevi and their daughter, Princess Shahnaz in Tehran during the Second World War.	Королева Фавзия с шахом Мохаммедом Реза Пехлеви и их дочерью, принцессой Шахназ в Тегеране во время Второй мировой войны.	World Wars
Queen Iffat was an informal title given to her because of her beloved status in Saudi Arabia.	Королева Иффат была неофициальным титулом, присвоенным ей из-за ее популярности в Саудовской Аравии.	Arab world
"Queen Wilhelmina wanted to remember the role of the citizens of Amsterdam during World War II and created a motto consisting of the Dutch words ""Heldhaftig, Vastberaden, Barmhartig"", meaning ""Valiant, Steadfast, Compassionate""."	Королева Вильгельмина, помня роль граждан Амстердама во время забастовок, создала девиз, состоящий из голландского слова «Heldhaftig, Vastberaden, Barmhartig», что означает «доблестный, мужественный, сострадательный».	World Wars
RS structure comprises the Head Office in St. Petersburg and 109 offices in Russia and abroad.	В структуру PC входят: Главное управление, расположенное в Санкт-Петербурге, 109 представительств и участков в России и за рубежом.	Russia
Rachele Mussolini did try to flee from Italy after World War II but, in April 1945, she was arrested in Como, close to Switzerland by Italian partisans.	Ракеле Муссолини бежала из Италии после окончания Второй мировой войны, но в 1945 году была арестована в Швейцарии итальянскими партизанами.	World Wars
Ramadi was contested again during World War II following the 1941 Iraqi coup d'état.	Рамади вновь стал ареной боевых действий во время Второй мировой войны, после иракского переворота 1941 года.	World Wars
Ramifications of the mission Harry is tasked with lead to him investigating neo-Nazi activity in Norway, and delving into a crime that has its roots in the battlefields of the Eastern Front of World War II.	Последствия миссии, которую дают Харри, приводят его к расследованию неонацистской деятельности в Норвегии, и копаниям в преступлении, которое произошло на полях боя Восточного фронта во времена Второй мировой войны.	World Wars
Ramos had tried to obtain a television station license as early as the mid-1940s; however, because of a freeze imposed by the Federal Communications Commission (FCC) that suspended the filing and approval of broadcast license applications for new television stations in the United States and its territories due to World War II, he had to wait until 1954 to obtain the license.	Рамос пытался получить телеканал лицензии еще в середине 1940-х годов, однако из-за моратория Федеральной Комиссией по связи США (FCC), что приостановление подачи и одобрения заявки на новые лицензии на вещание телевизионных станций в Соединенных Штатах и его территориях из-за Второй Мировой Войны, ему пришлось ждать до 1954 года получить лицензию.	World Wars
Rather than providing an authentic representation of the war experience, his works emphasize heroics and convey a distorted image of the German armed forces in World War II.	Вместо предоставления достоверной информации о ходе войны, его работы продвигают героизм и представляют искажённое описание немецких вооружённых сил во Второй мировой войне.	World Wars
Recent advances in mapping of the human genome have identified other genetic causes of low vision or blindness.	Последние достижения картирования генома человека определили и другие генетические причины ослабления зрения или слепоты.	Medical
Recent discussion in international relations theory questions the idea of explaining outbreak of World War I. with the offense-defense balance.	Недавнее обсуждение в теории международных отношений отзывает идею объяснения вспышки Первой Мировой войны с правонарушением обороны баланса.	World Wars
"Regarding war and peace, Haber once said, ""During peace time a scientist belongs to the World, but during war time he belongs to his country."""	Рассуждая о войне и о мире, Габер как-то сказал: «Во время мирного времени учёный принадлежит миру, но во время войны он принадлежит своей стране».	World Wars
Releasing large quantities of antibiotics into the environment during pharmaceutical manufacturing through inadequate wastewater treatment increases the risk that antibiotic-resistant strains will develop and spread.	Выброс большого количества антибиотиков в окружающую среду во время фармацевтического производства за счет ненадлежащей очистки сточных вод повышает риск того, что устойчивые к антибиотикам штаммы будут развиваться и распространяться.	Medical
Reluctantly working together, the trio invaded a KubeKult base to steal the erratically functioning Cube but the Red Skull seized it and willed Captain America to be drawn inside it into an artificial reality during World War II, where Captain America and Bucky were on a mission to kill Hitler.	Неохотно работая вместе, трио вторглась на базу Кубкалт, чтобы украсть беспорядочно функционирующий Куб, но Красный Череп захватил его и заставил Капитана Америку втянуться в нее в искусственную реальность во время Второй мировой войны, где капитан Америка и Баки были на миссии Убить Гитлера.	World Wars
Retiring from the stage during World War II, Bosse considered moving back to Norway's capital Oslo, the home of her childhood and youth.	Уходя со сцены во время Второй Мировой Войны, Босс решила вернуться в столицу Норвегии Осло, в дом своего детства и юности.	World Wars
Returning to St. Petersburg, she opened a studio there in 1894.	Возвращаясь в Санкт-Петербург, она открыла студию в 1894 году.	Russia
Revues enjoyed great success on Broadway from the World War I years until the Great Depression, when the stock market crash forced many revues from cavernous Broadway houses into smaller venues.	Ревю пользовался большим успехом на Бродвее с Первой мировой войны до Великой депрессии, когда крах фондового рынка заставил многие ревю из больших бродвейских домов перебраться на более мелкие места.	World Wars
Richard Crosby De Wolf is noted for being one of the earliest teachers of copyright law as a separate subject in the United States.	Ричард Де Вулф известен как один из самых ранних преподавателей авторского права в США как отдельного предмета.	Copyright
Richard Shane, Tom Shane's father, joined his father and brother, Claude Shane, in the business after World War II.	Отец Тома Шейна Ричард Шейн присоединился к бизнесу отца вместе со своим братом Клодом Шейном после Второй мировой войны.	World Wars
Richard is rescued and befriended by the captain of the brigantine, John Paul, who is sailing to Solway.	Ричарда спасает капитан бригантины Джон Пол (англ. John Paul), который плывет в Солуэй.	Vatican
"Ringer later acknowledged the inadequacies of her legislation, calling it ""a good 1950 copyright law."""	Позднее Рингер признала недостатки своего законодательства, назвав его «хорошим законом об авторском праве 1950 года».	Copyright
Ringer made many key contributions over the 1976 Copyright Act's 21 years of development, including negotiating with stakeholders and lobbying Congress to fuel interest in updating copyright law.	Рингер было сделан большой вклад в новый Закон об авторском праве 1976 года, ей потребовался 21 год, в том числе на переговоры с заинтересованными сторонами и лоббирование Конгресса, чтобы произошло обновление закона об авторском праве.	Copyright
Rogers receives a large back-pay reimbursement dating back to his disappearance at the end of World War II, and a government commission orders him to work directly for the U.S. government.	Роджерс получил крупную задержанную компенсацию, начислявшуюся ещё с его исчезновения в конце Второй мировой, и правительственная комиссия приказала ему работать прямо на правительство США.	World Wars
"Rolls Royce broke with their earlier decision to cease production of the series of ""big"" Rolls-Royce Phantoms after the end of World War II."	Создавая Phantom IV, производитель отказался от своего ранее принятого решения о прекращении производства серии «больших» Rolls-Royce Phantom после окончания Второй Мировой Войны.	World Wars
"Salman stated, ""We won't wait for the battle to be in Saudi Arabia, instead, we will work so that the battle is for them in Iran, not in Saudi Arabia."""	Салман заявил: «Мы не будем ждать битвы в Саудовской Аравии, вместо этого мы будем работать, чтобы сражение было для них в Иране, а не в Саудовской Аравии».	Arab world
Saltdal was known for having some of the most horrifying prisoner-of-war camps in Norway during World War II.	Салтдал был известен наличием нескольких ужаснейших лагерей военнопленных в Норвегии во время Второй мировой войны.	World Wars
San Juan experienced significant economic growth following World War II.	Сан-Хуан пережил значительный экономический рост, последовавший за Второй мировой войной.	World Wars
Saudi Arabia contributes large amounts of development aid to Muslim countries.	Саудовская Аравия тратит большие финансовые средства на помощь в развитии мусульманских стран.	Arab world
Saudi Arabia has negotiated the purchase of Pakistani ballistic missiles capable of carrying nuclear warheads.	В 2000-х годах Саудовская Аравия вела переговоры о покупке пакистанских баллистических ракет, способных нести ядерные боеголовки.	Arab world
Saudi Arabia is a monarchy, with a Consultative Assembly (shura) of lawmakers appointed by the king.	Саудовская Аравия является абсолютной монархией с консультативной ассамблеей (шурой), законодатели назначаются самим королём.	Arab world
Saudi Arabia is one of the strongest supporters of Pakistan during Pakistan's wars with India, especially opposing the creation of Bangladesh from Pakistan's eastern wing in 1971.	Саудовская Аравия является одним из самых сильных союзников Пакистана в его конфликте с Индией, а также выступала против создания Бангладеш из восточной части Пакистана в 1971 году.	Arab world
Saudi Arabia isn't represented in Croatia but citizens that need any assistance are advised to contact the Saudi Arabia embassy in Sarajevo (BiH).	Саудовская Аравия не представлена в Хорватии, но гражданам, что нуждаются в помощи, рекомендуется обращаться в посольства Саудовской Аравии в Сараево (Босния и Герцеговина).	Arab world
Saudi Arabia paid US$40 million for return of the aircraft three months later.	Саудовская Аравия заплатила 40 млн долларов за возвращение самолёта тремя месяцами спустя.	Arab world
Saudi Arabia played an active role in attempting to bring the Palestinians towards a self-governing condition which would permit negotiations with Israel.	Саудовская Аравия играла активную роль в попытке создать у палестинцев собственное правительство, которое сможет вести переговоры с Израилем.	Arab world
Saudi Arabia rejected the Camp David Accords, claiming that they would be unable to achieve a comprehensive political solution that would ensure Palestinian Arabs can all move to Israel and the division of Jerusalem.	Саудовская Аравия отвергла Кэмп-Дэвидские соглашения, заявив, что они не позволят достичь полного политического решения, которое позволит палестинским арабам переехать в Израиль, а также разделение Иерусалима.	Arab world
Saudi Arabia was one of the main Islamic states backing this resolution and it has been reported that an earlier draft of the resolution (tabled by Saudi Arabia) had called for recognition of Kosovo by Islamic countries, but this was rejected by some member states, including Syria, Egypt and Azerbaijan.	Сообщалось, что более ранний проект резолюции (представленный Саудовской Аравией) призывал к признанию Республики Косово исламскими странами, но был отклонён некоторыми государствами-членами организации, в том числе Сирией, Египтом и Азербайджаном.	Arab world
Saudi Arabia, Qatar, Turkey and the CIA smuggled thousands of weapons and millions of ammunition rounds to Syrian rebels in 2012 before the program's launch.	Саудовская Аравия, Катар, Турция и ЦРУ скрытно переправили тысячи единиц стрелкового оружия и миллионы патронов сирийским повстанцам в 2012 году ещё до начала основной операции.	Arab world
Save for xenophobic poems written during World War II, his poetry reflects the philosophy of humanism with an optimistic perspective on the world.	За исключением ксенофобских стихов, написанных во время Второй мировой войны, его поэзия отражает философию гуманизма с оптимистическим взглядом на мир.	World Wars
Scherbius' Enigma provided the German Army with the strongest cryptographic cipher of the world and the military conversation of the Germans was optimally protected during World War II.	«Энигма Шербиуса» обеспечила немецкую армию самым сильным криптографическим шифром мира, и военная беседа немцев была оптимально защищена во время Второй мировой войны.	World Wars
Scholars suggest that it may have emerged from the burgeoning advertising industry in the period following World War I, only to be codified and popularised in the 1950s and 60s.	Ученые предполагают, что он мог появиться в растущей рекламной индустрии в период после Первой мировой войны , только чтобы быть образцовым и популярным в 1950-х и 60-х годах.	World Wars
"School pupils participate and compete in various boxing matches, including the ""Valuev Cup"" youth boxing tournament, which became a regular competition in St. Petersburg."	Воспитанники школы участвуют и побеждают в различных соревнованиях по боксу, а также в молодежном боксерском турнире «Кубок Валуева», ставшем в Санкт-Петербурге регулярным.	Russia
Schurch was the only British soldier executed for treachery committed during World War II.	Шурх был единственным британским солдатом, казненным за предательство во Второй мировой войне.	World Wars
Scott's reputation survived the period after World War II, beyond the 50th anniversary of his death.	Репутация Скотта оставалась неизменной и после Второй мировой войны, и многие годы спустя после 50-й годовщины его смерти.	World Wars
Secondly, at the start of the World War II, Hardy, a committed pacifist, wanted to justify his belief that mathematics should be pursued for its own sake rather than for the sake of its applications.	Во-вторых, в начале Второй мировой войны Харди, убеждённый пацифист, желал оправдать своё убеждение в том, что математика должна быть продолжена для неё же самой, а не ради её приложений.	World Wars
Several of Kravchenko's works of this period were purchased by for the Imperial collections at the Hermitage in St. Petersburg.	Несколько работ Кравченко этого периода были куплены для императорской коллекции в Эрмитаже в Санкт-Петербурге.	Russia
She also ran in the 217th South-East single-mandate Constituency of St. Petersburg.	Она также баллотировалась в 217-м Юго-Восточном одномандатном округе Санкт-Петербурга.	Russia
She also reportedly produced cover illustrations for various journals published in New York during World War II.	Она также, как сообщается, работала над иллюстрациями для обложек различных журналов, публиковавшихся в Нью-Йорке во время Второй мировой войны.	World Wars
She began writing while working for the British Purchasing Commission in New York City during World War II.	Она начала писать, работая на британскую Комиссию в Нью-Йорке во время Второй мировой войны.	World Wars
She graduated with a thesis on the economy of labor and the gender issue in Saudi Arabia after the Gulf crisis from the University of Bologna.	Защитила диссертацию по экономике труда и гендерным вопросам в Саудовской Аравии после Войны в Персидском заливе.	Arab world
She joined the Greek Red Cross when the Second World War broke out in 1939.	Она присоединилась к греческому Красному Кресту во время Второй Мировой войны в 1939 году.	World Wars
She openly objected to Japan's involvement in World War II, which might have caused conflict with her son, Hirohito.	Она яростно противилась участию Японии во Второй мировой войне, что, вероятно, вызвало конфликт с сыном Хирохито.	World Wars
She received a medal from the Association of Jewish Veterans and Victims of the Second World War.	Она получила медаль от Ассоциации еврейских ветеранов и жертв Второй Мировой Войны.	World Wars
She reveals that at the mosque, Walker was regularly talking to a man with diplomat license plates on his car, and that the number on the plate indicated he was from Saudi Arabia.	Она раскрывает, что в мечети, Уокер регулярно беседовал с человеком с дипломатическими номерными знаками на его автомобиле, о что номер на плитке указывает, что он из Саудовской Аравии.	Arab world
She served a month in Holloway prison during the Second World War because she refused to register for civil defence duties, or to pay a fine for refusing to register.	Она служила месяц в тюрьме Холлоуэй во время Второй мировой войны, потому что она отказалась регистрироваться для выполнения обязанностей по гражданской обороне или выплатить штраф за отказ.	World Wars
"She stated in Yad Vashem: ""As president of Croatia, I express my deepest regret to all the victims of the Holocaust that were killed by the hands of the collaborationist Ustasha regime during World War II."	Она произнесла речь в музее Яд ва-Шем: «Как президент Хорватии, я выражаю своё самое глубокое сожаление всем жертвам Холокоста, которые были убиты от рук коллаборационистов режима Усташа во время Второй мировой войны.	World Wars
She threatens to have Al-Zahrani's daughter, a National Merit Scholar attending Yale, deported to Saudi Arabia.	Она угрожает тем, что дочь Аль-Захрани, национального стипендиата, посещающего Йельский университет, депортируют в Саудовскую Аравию.	Arab world
She used to work at beauty salons, then used to be an owner of beauty salons network in St. Petersburg.	Работала в салонах красоты, затем некоторое время владела собственной сетью салонов красоты в Санкт-Петербурге.	Russia
She was born on November 15, 1989 in Komsomolsk-on-Amur, where she moved to St. Petersburg.	Родилась 15 ноября 1989 года в городе Комсомольск-на-Амуре, откуда переехала в Санкт-Петербург.	Russia
She was raised in South Africa, where her family emigrated after World War II.	Выросла в Южной Африке, куда ее семья эмигрировала после Второй Мировой Войны.	World Wars
She was sent to boarding school during World War II while her parents served in the British Army.	Ее отправили в школу-интернат во время Второй мировой войны в то время как родители служили в британской армии.	World Wars
"She was the first war correspondent to report the outbreak of World War II, described as ""the scoop of the century""."	Она была первым военным корреспондентом, сообщившим о начале Второй мировой войны, описав происходящее как «сенсацию века».	World Wars
She was the only dog to be registered as a prisoner of war during the Second World War.	Она стала первой собакой, официально зарегистрированной в качестве военнопленного во время Второй мировой войны.	World Wars
Shehri also frequented government-supported religious camps in Saudi Arabia.	Шехри также часто поcещал правительственные религиозные лагеря в Саудовской Аравии.	Arab world
Shortages of coal during World War I prompted the RhB to grapple with the task of electrification.	Нехватка угля во время Первой Мировой Войны побудила RhB электрифицировать линию.	World Wars
Shortly after World War II, in which Palm Cove was used as a training base for Australian soldiers, the number of people traveling to Palm Cove greatly increased.	Вскоре после Второй мировой войны, когда Палм Ков использовался в качестве учебной базы для австралийских солдат, число людей, направляющихся в Палм Ков, значительно увеличилось.	World Wars
